sentiments,corrected_review,corrected_review_length,review_score
neutral,stopped working in about an hour ,6,5.0
positive,the mouse worked for couple weeks but now the strolled just spine feeling and won stroll one through pages really disappointed because the mouse as whole worked pretty well for the last couple weeks hopefully just defective model will be returning the item and seeking replacement,46,1.0
neutral, light pink quiet when click smooth across my mouse pad and does not get stuck led lights change often all as advertised from my concern ,25,5.0
neutral,worked great for month then the center button stopped working ,10,1.0
negative,it was working well until it just stopped working after months it won charge and turn on anymore pretty much useless now not well made and it waste of money if you re looking for reliable and and an item that will last long do not get this one co you will be disappointed tried my luck and didn listen to the reviews read now am so disappointed could have spend more to most reliable and long lasting one ,79,4.0
positive,i charged this mouse one time for an hour and it been going for month now on that one charge the click are silent love this comfortable mouse edit loved it until the stroll wheel stopped working ,37,1.0
neutral,stroll bar broke month after getting it ,7,5.0
positive,purchased for daughter and she didn like the economics of it threw it in my work travel bag and have ended up using it works well and battery lasts while it also nice conversation piece in meetings ,37,5.0
negative,i tried to give this mouse some time tried it on different surfaces in all cases it skipped around and was very hard to work with unfortunately because of vacation and because tried to make it work missed the return window by one day that just frustrate me even more ,50,1.0
neutral,i purchased this in february it began cracking poorly in july and stopped strolling in august ,16,5.0
negative,was decent first month very flat so not economic but that personal taste issue is this is already broken the stroll wheel no longer works even for mouse that pretty pathetic since ve had other houses for years at time had the same issue as other reviews with the curses random jumping too so there might be some design issue with the senior ,63,2.0
positive,this mouse was purchased for year old girl she loves the colors the fit and the fact that it works without making noise ,23,5.0
neutral,i bought this weeks ago and now the stroll doesn work if you need mouse choose something other than this ,20,1.0
neutral,june,1,1.0
neutral,don spend your money on this cap,7,1.0
neutral,it says it is supposed to install hardware automatically and should work once completed however that is not the case for mine and it doesn tell me what should be installed for me to try to find it on my own,41,5.0
negative,i hate this product,4,4.0
negative,after two days of using the mouse went dead and would not work again no matter how long charged it ,20,5.0
positive,i gotten mouse mouse pad comb at to max but there was no us to connect it to my lawton so ordered this online it was good price and shipped quickly and am so glad ordered it it way cooper than the other one bought and feels like it made better it lights up there an on off and sleep mode to preserve battery also works so fearlessly and smooth great product thanks ,73,1.0
neutral,i received this product in the mail and when first handled it felt very cheap proceeded to use it on my lawton and the mouse wheel wasn working at all,30,5.0
positive,the mouse itself was fine at first worked great and liked the shape and sound but the wheel started to squeaky and it always strolled too fast for my liking and now the mouse won work at all always jumping around the screen spinning lagging or responsive really annoying when trying to play games it does this when the battery is getting low too not fan it works sometimes flat on my desktop but then it slowly gets worse and worse as the night goes on and now it won even read on my mousepad at all it has to be on the desktop to make it work even poorly ,110,5.0
positive,i really loved this mouse did not replace it with the same mouse however because the wheel broke only use this device for work not game or anything like that ve had tireless mice that do not break for years previously great color very cool looking will miss using this not sure if there is any warranty,57,3.0
positive,i liked everything about this mouse was working great the couple of times week that used it then one day the stroll wheel stopped working completely no it not dirty there is no resistance it feels like it is free wheeling in there no explanation past return period ,48,2.0
neutral,be sure your computer is on in order to see the lights on the white mouse was so close to returning it as my other mouse with lights was always on regardless of my computer but glad problem solved my own problem ,42,1.0
negative,might work for low use we shall see and ll update this review after week or so of use update received aug mouse died see rip,26,1.0
neutral,cut mouse just love how it lights up with the different colors ,12,1.0
neutral,it worked for about weeks plus few days before it stopped working ,12,1.0
neutral,it had worked very well for me for about years and it very aesthetic ,14,1.0
neutral,mouse worked fine for two weeks shape took some getting used to since it low profile charge held up pretty well but the stroll wheel broke after few weeks of use so in the trash it goes ,37,2.0
negative,it is quite nice it has an interesting style and the colored lights give it special touch unfortunately in terms of performance is louse the sleep mode seems to fail constantly sometimes it turns off for no reason and stops working for while being fully charged so it must be damaged internally very disappointed with this product no matter how nice it is it is not worth buying if it does not fulfill its main function ,76,4.0
neutral,the strolling wheel is already broken and haven even used the mouse for month ,14,3.0
positive,love how amazon is fast and product is great,9,5.0
neutral,it honestly awful it won charge and ve tried four different charges ,12,3.0
positive,great purchase,2,3.0
neutral,pretty easy to use and set up comes with charge expected the lights to be bit more appealing but they re mainly just solid colors when you have it on the led light mode fits snug with my hands and does the job for the most part so complain probably wouldn use for gazing purposes though ,56,3.0
positive,nice mouse if it worked the first one purchased worked for about month when the strolling wheel broke the company replaced it free of charge now six months later the second one has quit working won hold charge ,38,1.0
positive,i love it,3,1.0
positive,my son wanted this for his malbrook so will tell you it needs an adapted the malbrook doesn have us port but after that he is pleased with the performance he uses it to play games too and says it is responsive ,42,5.0
positive,mouse is easy to use and works well however the first time put it in my bag the color whipped off the mouse now have tell mouse with white speaks super disappointed,32,1.0
neutral,this is the cheapest thing have ever seen the quality is horrible holding it in my hand feels like it weighs nothing it is extremely cheap the lights are neat the they should be ashamed selling this for anymore then ,40,1.0
neutral,literally will not charge or hold charge,7,3.0
neutral,this mouse only worked for one charging when charged it the second time everything works backwards want to go left it goes right your want it to go up it goes down don recommend this item they say you can return it ,42,5.0
negative,charge didn last all day and then delay kept getting longer simply don have time to hook it to cord and there no battery charge option ,26,1.0
positive,stops working week after buying do not waste your money mine won stay connected to my computer constantly having to recollect it,22,5.0
negative,it broke literally less than month and give never even dropped it super disappointed and waste of money ,18,5.0
neutral,i used this very infrequently and the spinning wheel broke within couple months ,13,1.0
neutral,great product but little too flat for me ,8,2.0
neutral,my son was using it for his lawton for school and it stopped working didn want to work more ,19,5.0
neutral,i don use for gazing,5,2.0
neutral,i not too happy with this led mouse when it goes on sleep mode have to literally turn it off and turn it back on to boot up again thinking of returning it and get full refund on this product ,40,1.0
neutral,mouse works well and holds charge for several hour work days only drawback for me is that the stroll wheel is loud ,22,1.0
negative,after exactly two months the roller wheel in the middle broke tried prying it apart and it is not liable and is pain to always have to use the scrollbar with the mouse the lights are kind of distracting not necessary however it does stay charged for week or more at time cheap and bought this for data work it works other than the middle wheel now and is okay for the price or if you don have high expectations ,80,5.0
positive,easy to use and like weight will purchase another one soon,11,4.0
neutral,if you want an led mouse for aesthetic dont buy this brand this has flashing red led that is separate from the rib less it stays on even when the led switch is not on ,35,1.0
neutral,i tried charging the mouse but it didn want to charge tried multiple tables and nothing light kept twitching and when plugged the adapted in it didn pop up or recognized it ,32,5.0
neutral,cheap flies components and the charge lasts about minutes ,9,1.0
positive,this mouse is wonderful love the feel of it it is economically great use mouse all day long and this mouse is light weight and fits my hand the sleep mode feature is an added plus ,36,5.0
neutral,piece of cap,3,1.0
neutral,have not even had the item for three weeks and it has stopped connecting it was going strong for about week and then all of sudden it began to have problems do believe that the mouse is very cheaply made spend few extra dollars and get quality product ,48,1.0
neutral,loved the idea of charging had to charge midday sometimes wheel random died in the middle of my worldly after months buying regular one next time ,26,5.0
neutral,is very easy to manager ,5,1.0
neutral,it stopped working after weeks the lights would appear and it looked like it would charge but the mouse was nonresponsive to movement it worked for week or two before this happened so know how it was supposed to work before it stopped working the surface felt silk to the touch but that about the only plus can give this product as cool as the lights look wouldn recommend wasting your money on this invest little extra and go with more reputable and reliable brand that won break after weeks ll be doing the same after this disappointment ,98,1.0
positive,pretty good mouse ,3,5.0
positive,easy and fits my hand have some numbness in my right hand ,12,3.0
neutral,the stroll wheel stopped working days after bought it used it less than times,14,5.0
positive,don buy it it can hold charge it moves on it own and was way too expensive for how happy it was ,22,2.0
neutral,red lights stays on and nothing happens really like this mouse until this happened ,14,3.0
positive,slim in the hand and works great ,7,1.0
neutral,stopped working from one day to the next ,8,1.0
neutral,really liked how light weight the product is however it stopped working after months the battery life was great in the beginning but now it doesn operate even after charging it ,31,4.0
negative,don buy died as soon as the return period is over can get refund for it,16,5.0
neutral,i have been using this mouse for days and the stroll wheel broke completely when pressed it it was alright in its short days comfortable but the stroll wheel clicked very loudly which didn like don waste your money ,39,5.0
positive,cut mouse love the blue on it and the lights are cut touch its very lightweight very quiet no clinking sounds from the mouse which is great ,27,5.0
positive,this mouse is super cut it is lightweight and the color matched perfectly to the picture got dark gray to match my malbrook pro the click is silent which love the led lights are bright and colourful there is also setting where you can just have red lights but love the color changing the only downside is that this mouse does not hold charge long enough to last my entire worldly ve started twitching it off when am away from my desk and that help some charging is simple though ,90,5.0
positive,i loved the look and feel of this mouse however it stopped working after only week of using it won charge at all and worker said she had the same issue with the same mouse don waste your money ,39,5.0
positive,i was pleased to see just how well made the mouse was when received it couldn have asked for more for the money it comfortable in my hand the rubber texture really makes using it pleasure the done storage on the bottom of the mouse isn covered but it nice and tight so not worried about losing it so far so good ,62,4.0
positive,it works smoothly and the colors are fun keeps charged for good while ,13,4.0
negative,do not buy this mouse stopped working august st yesterday thought it was just dead so made sure to charge it this morning go to use the mouse and it still is not working despite it being fully charged it just doesn turn on anymore am extremely disappointed because just bought this mouse on june th meaning that the return window closed on july th this mouse stopped working entirely doesn even turn on anymore two days after the return window closed do not buy this product if could give it less stars would ,94,1.0
neutral,while working on my desk close by book fell on top of the mouse and now it doesn take charge by the way it was the first day i was using it ,32,1.0
positive,this came with an adapted to fit the apple lawton but is not made specifically for apple products the charge does not last long and needs special adapted prefer battery operated mouse as maintaining so many different charges on my desk is cumbersome the three settings for on off are also less than ideal in summary while this mouse is aesthetically pretty it is not functional with the apple products ,70,5.0
neutral,quality was not worth it stopped working unexpectedly,8,5.0
positive,i love it easy to install and use mouse is soft and moves easily ,14,5.0
negative,from what read this would plug into an andros tablet have so that could control without using the touch screen but the adapted did not allow this my mistake probably ,30,5.0
neutral,the mouse broke couple days after the return window reached out and heard nothing back not fun throwing money away like that ,22,1.0
neutral,it stopped working after three and half months the stroll button stopped working ,13,5.0
positive,update lost my favorite mouse today bought it on run reviewed it aug and it died yesterday aug so the mouse lasted apex weeks two and half months is pretty disappointing lifespan the battery died so plugged it in as always yet it doesn connect anymore ve tried removing the us transmitted reporting the computer plunging it in and out and turning it off and on but nothing even tried re charging it but hope it lost cause bought this mouse to replace the tireless logitech was using for my lawton it died and decided to try this rechargeable mouse from ohio never heard of the brand but impressed this first charge lasted so long that almost forgot it was rechargeable bought it in mid june it aug today and just on my second charge the first charge lasted over month this mouse does shut off after it idle for while and sure that is the secret to the long battery life just quick left click and it back in business almost immediately love the slim feel of this mouse it works beautifully thought the changing light would bother me old but it doesn it more like pleasant subdued highlight effect ll probably buy another one for my desktop but in another color so don get them mixed up ,219,1.0
positive,great for the price hold charge for good amount of time,11,2.0
neutral,this lasts quite while before requiring plug in ,8,3.0
neutral,it is exactly as pictured works well ,7,1.0
positive, aesthetically this is very enjoyable to use because of the changing colors of the rainbow like how it tireless and it can even work from small distance away on another table from separate from my computer it works very well it has an on and off button for storage ,49,1.0
positive,just love the narrow band of changing colors around the mouse it so cheerful ,14,5.0
positive,i love the ease of use with this mouse the ability to charge it rather than constantly replace batteries and to shut off or put to sleep the noise it unable and perfect for my usage and was able to get it in pink ,44,5.0
positive,this thing works well most of the time if you don turn it off and just let it go to sleep mode it dies fairly quickly but you still get couple of days of use out of it if you re not using it hours day at least if you turn it off every time you re done though you can get probably month but at least weeks out of it with moderate use originally bought it to use with my pad however the case on my pad wouldn really allow the us to plug into the charge port wish they made an option to get either us or us plug as you get both with this mouse but you have to plug the us into the us adapted which makes the us plug significantly thicker than necessary now use it for my malbrook just warning if you want it to stroll like regular mouse you have to change it in the setting of the computer but that malbrook problem not problem with this mouse not all of apple setting decisions make sense but that nothing new do really like that can chose to just turn on the mouse with solid red color which preserves battery or turn it on to change colors reduces how much time you get out of the mouse but is cool feature my only complaint is that sometimes the mouse isn cracking perfectly and the curses is in completely different place than would expect it to be further behind where was moving it to rather than the curses doing its own thing but that may also be thing have to change on the lawton ,279,5.0
neutral,does not work,3,1.0
negative,it very cut looks chin now can find my mouse at night with out problem ,15,2.0
positive,i ve been using logitech marble mice for years maybe over decade just love that you control the curses with just your fingertips but it weakness is that the marble mouse strolling function is clumsy and jerky as it lacks left stroll wheel that is probably the sole reason bought this led tireless mouse the led mouse seems to function well it has sleep mode that easily wakes up and had pretty color light around it don use it for general rousing but for strolling once get the curses in the right window the mouse can be on the desk in my lap wherever it makes up for what don have with my marble mouse the price was right and think if it what paid for it it good cheap addition ,131,1.0
negative,the mouse can use but the back side of the light is broke ,13,5.0
positive,great mouse use it for everything from gazing to normal use recommend it,13,4.0
positive,this mouse is extremely lightweight and easy to use love the lights that constantly change while you re using it the best part for me is the fact that it rechargeable just plug it into any us plug it into my lawton at the end of the day battery usually lasts me few full days of work sleep mode is great and helps prolong battery life ,66,5.0
neutral,works well light weight,4,2.0
neutral,been trying this for over month now and have only used it handful of times because the charge barely last hours at most even after full charge save your money,30,5.0
positive,easy to set fit nice on the palm of your hand,11,5.0
neutral,a flies mouse that broke down within two months of very light use would recommend spending bit more money and buy branded mouse and have peace of mind ,28,1.0
positive,i bought the white one and at first it was only lighting up red and thought the picture was misleading then realized the on off switch on the bottom actually serves two functions one click on will turn the mouse on and glowing red two click on and the rainbow colors appear will say the white mouse is almost translucent the rainbow colors illuminate the whole mouse not just the sides it plug and play very easy to use and comfortable ,81,2.0
neutral,this is probably my second review in life because hate leaving them but very disappointed that the stroll wheel stopped working right after month of use don even use it every day hell don even use it every other day so this definite came as shock of course the return window is closed which go figure when you sell cheap mouse and the seller isn easily accessible like to think out of good character and business that would be able to replace this mouse as love the color and the lights on it but what the point if it no longer serves its purpose ,104,3.0
positive,colors are just ok have to position the charge certain way for it to actually charge ,16,5.0
neutral,this wrapped out within three months invest in better quality mouse so tedious having to replace these cheap electronics so often ,21,5.0
neutral,liked it lot until it stopped working after only using it intermittently for couple months no longer will right click,20,1.0
neutral,beats having to contend with the wire of wired mouse as well as having to use your finger on the little lawton control surface ,24,5.0
positive,great purchase it so cut and easy to handle ,9,5.0
neutral,i initially liked this mouse because it cut it too flat to be economic but that was okay except ve used it for less than month and the stroll wheel has fallen off its track it also dies very fast and needs to be charged often don recommend it for anyone using mouse regularly ,54,1.0
positive,made to fearlessly fit hands pleasure to use ,8,5.0
neutral,my mouse never worked charged it the first day for the recommended time when tried to use it it lowered on briefly and then lowered completely off thought it must not have charged completely so charged it again and again and again each time it did the same thing just threw it away never even got to use it ,59,1.0
neutral,does not hold charge have to charge every three days approximately ,11,5.0
positive,its been less than months but the mouse has already popped open and doesn work just wish it would last longer ,21,1.0
neutral,this mouse last me like month or two in not able to stroll up using this mouse will not buy again,21,1.0
positive,very comfortable to use love it,6,3.0
negative,bought this mouse in march and today it stopped working it will not charge and is now useless ,18,1.0
positive,battery life was great worked great for while but it will not charge first time went to charge it plug it into my lawton and power brick it lights up for seconds then shuts off now it won turn on at all sadly would love to give this product more stars but now this is useless and can even use it while it plugged in ,65,1.0
positive,this mouse is glimmer than others since have small hand it is very comfortable to use great buy ,18,1.0
neutral,super cut but it is really slow ,7,5.0
neutral,this is an update to my last review it has been months and it stopped working bought this because of the price and color next time will go with more reputable company ,32,5.0
neutral,the type adapted doesn work ,5,5.0
neutral,nothing wrong with this mouse does the job use with new lawton ,12,5.0
positive,simple book up and very responsive sturdy construction beautiful light display and worth every penny just as good if not better than the more expensive bands ,26,2.0
neutral,worked well for few months now stroll doesn work,9,5.0
positive,the mouse is economic very easy to use the price is not bad either all in all good purchase ,19,5.0
positive, love this mouse it super cut and lightweight love the led lights option haired perfectly with my malbrook,18,5.0
neutral,i ordered this in early june and really enjoyed the fun color and sleek design however now in late july about months later first the us transmitted broke off and got stuck in my lawton and then the mouse itself stopped charging and no longer works guess you get what you pay for look elsewhere ,55,1.0
positive,it works great like the color ,6,1.0
neutral,people are right this is rip off waste of money it only worked for week now,16,4.0
positive,so far so good looks cool and feels good would buy again,12,2.0
neutral,battery doesn last long and sleep mode is annoying so tossed it without warning it will just quit on you going back to battery brand ,25,5.0
positive,this mouse is of great quality,6,3.0
neutral,i use for work it is needing to be charged almost every days ,13,5.0
neutral,cheap for reason doesn work after months guess that is why the return policy is just days do not waste your time on this item complete garage ,27,4.0
neutral,purchased may th and us broke apart by july th save your money ,13,4.0
negative,i am sick with stage melonoma so just opened it it singles june,13,5.0
neutral,this item came broken we tried charging it over night but it never worked had to return it,18,1.0
neutral,it never would charge ,4,5.0
neutral,right button defective after month usage ,6,5.0
positive,working great plugged in or tireless have no problem so far,11,1.0
positive,this mouse is very quiet when you click and is economically comfortable ,12,1.0
positive,works well special features are fun,6,1.0
positive,bought this mouse because when my other one died remember having to change my battery at least once month after getting this originally charged and has kept the charge for almost month now and just had to charge for the st time charged overnight and working great again love this small quiet mouse easy to hold with rubberized texture that keeps it from slipping ,64,1.0
neutral,if you want to have to charge mouse more than use it this product is for you had moderate hopes but this mouse falls short of even those,28,4.0
positive,yeah this thing is pretty great honestly it works really well and is completely silent which really like at work don like to be constantly clinking all the time the rubberized feel is also very satisfying and mean very satisfying overall you really can go wrong here for the price ,50,5.0
positive,the mouse is cut has quiet click smooth glide and is light it is also comfortable for your hand like the rechargeable feature as well,25,5.0
positive,i really like the design and feel of this mouse bought in week the lights are cool and like the sleep feature if it not used for minutes great price ,30,5.0
negative,worked fine out of the box until it needed charging and now won charge it has blue light on it so know it getting power but as soon as discontent the cord it dead worthless ,35,5.0
neutral,mouse not working properly ,4,4.0
neutral,it good size shape mouse let see how long it last in my son and if it not brand name don last more then to week ,26,5.0
neutral,waste of money never charged and never worked waited to late to return so it ll go in the trash ,20,3.0
neutral,the slim design fits well in my small hands,9,1.0
neutral,it works well functionality wise for me but the lights don work it just stays red and the light is very blink battery,23,1.0
positive,i like this mouse very much it moves smoothly and is small so there is no discomfort for my hand the only thing do not like is the on off switch it is very small and hard to make it move ,41,2.0
neutral,it is almost perfect except the assembly gap is big some dust dirt tiny food waste will go in easily,20,5.0
neutral,it would ve been nice if this actually worked ,9,5.0
negative,very nice sleek design was expecting lot more given the reviews but mouse stopped working after weeks the us and us captors are very flies and prone to bending so as soon as go to plug it into my computer it does not connect definitely would not recommend unless you are looking for product to use for about week or two ,61,5.0
positive,slim design comfortable for the wrist ,6,5.0
neutral,this stopped sanctioning after one week of use ,8,3.0
neutral,it broke,2,1.0
negative,had this one for week and it already stopped working the stroll wheel in the middle doesn work and half the time the items am trying to click on can because the left click button doesn work have charged it several times from the computer and from wall adapted and still not any better,54,3.0
neutral,worked for less than month it won charge real piece of june not great product ,15,1.0
positive,works great,2,1.0
positive,use it with my lawton works perfectly ,7,2.0
neutral,quiet clicked,2,1.0
positive,works great,2,5.0
positive,mouse works great better than expected ,6,5.0
positive,it good but for gazing don recommend this slim one it ok for normal work ,15,5.0
positive,excellent price an very comfortablethere are great,7,5.0
positive,love it good price and product ,6,2.0
neutral,at first this mouse was the best ever however whenever it touches table the bottom red light turns on and makes the colors look all missed up it was still very comfortable though however months later whenever turned it on it would start autoclicking and the only way to stop it is to remove the us charge it great for the first months but then started failing me ,68,5.0
negative,the stroll wheel stopped working after month very frustrated ,9,5.0
positive,i am very disappointed with this item had replaced it once and the same thing happened where it doesn hold charge after few months of ownership really like this product but the cool rainbow changing lights can only be enjoyed when its charged and working properly ,46,2.0
neutral,very satisfied with this mouse ,5,1.0
neutral,i bought this because it looked small and exactly what was looking for when received it turned it on and it lit up got excited to only put it to charge and it completely stopped lighting up tried everything to no avail it either fried during charging or just quit working either way returned it and got my money back ,60,5.0
positive,first one received only lasted one week but the return process was quick do really like the second one mainly because of the lights know shallow right ,27,5.0
neutral,absolutely love it so sick slim and smooth ,8,1.0
positive,works great for home office and gazing,7,5.0
positive,just hit but it is cheaply made should he purchased from best buy vs this one ,16,1.0
neutral,the wheel button broke as it was simply built with thin plastic rod sent it back hard pass ,18,2.0
neutral,leave it for few minutes and come back it has to be turned off and back on needs frequent charging ,20,3.0
neutral,the product seemed good and liked it until was just using it normally then it just stopped working tried charging it turning it off and on and connecting it but it still didn work would not recommend this to anyone and ve had it only couple of weeks ,48,5.0
neutral,i bought this mouse because it was rechargeable it worked fine for few days and then just quit working ended up having to return it ,25,5.0
positive,starting using on april and when came back to my desk yesterday it had completely stopped working can not charge it tried on multiple computers and the computers won acknowledge it if it not plugged in directly which defeats the purpose of the tireless charitable mouse don buy if you are looking for long term option and can find way to contact the company the only option amazon gives me is to leave review can not contact the seller ,79,2.0
neutral,i got this almost month ago and only had to charge it once since then ,15,3.0
neutral,i use it flowering from home in my lawton l,10,1.0
neutral,this is quick responsive and easy to use mouse it can be run normally or with it built in lights sleeps after short period of unused but wakes with single click micro us charging cable included charges the mouse in no time light is on when charging and turns off when done with the sleep mode the battery lasts longer than expected ,62,5.0
neutral,works well with windows ,4,1.0
neutral,not very come and always disconnected,6,1.0
positive,super smooth operation and super quiet excellent battery life was very pleasantly surprised would not hesitate to purchase second one or even recommend to someone great price ,27,2.0
positive,so far very pleased with this product it connected with my lawton automatically with no problems the slim line design slips into my lawton case outer pocket very nicely and there seems to be no issues with charging it from computer port ,42,2.0
neutral,i like that it rechargeable unfortunately the strolled on top doesn work used with both my malbrook and lawton ,19,2.0
positive,good quality for the price very colourful constantly changing colors easy to connect to the computer great item ,18,1.0
positive,best mouse ve ever bought ,5,1.0
negative,i have had this mouse for less than months that and the rolling ball has stopped working that sucks ,19,5.0
neutral,just what wanted battery life ted,6,1.0
neutral,i purchased this mouse on prime day received mouse that does not work no matter what try about to send back for refund please don waste your time purchasing this item wish could relate to the good reviews am so disappointed ,41,5.0
positive,recently purchased this mouse the look of the lights is cool not fan of the sleep mode but did love the smooth feel of movement and the track wheel was perfect however after day and half went to charge it and it never came back on thought it needed to charge longer but no just stopped working ,57,5.0
neutral,i bought this last year not wanting to pay for premium mouse and after seeing so many comments turns out it mistake the mouse stops working after few months when work from home the pointer just doesn react at all only the stroll works if it functional mouse it actually quite well made and like the design overall my kid loves the color sadly have to put on this review ,70,1.0
neutral,i work in fast paced setting being able to un dock and move needed something small to transport this but my need actually bought two may buy more for my team ,31,3.0
neutral,great little mouse it does not tell you that it is about to die though and you have to plug it in to charge it no batteries which will slow you down if working or gazing with it ,38,3.0
neutral,i purchased one for my desktop and one for my lawton received them both on june the strolling wheel on one stopped working on july and the strolling wheel on the other one stopped working on july ,37,1.0
neutral,the mouse is so smooth and responsive when it died it wouldn take charge so is now useless about what expected for being so cheap pretty color though ,28,5.0
negative,dead in weeks,3,1.0
positive,feels nice in the hand lightweight but not lightly made if that makes sense smooth flow nice to have the us compartment inside of the mouse use it for my later when travel,33,1.0
positive,while the shape of this rechargable mouse is nice the happy battery refused to be charged after less than three months don buy this ,24,5.0
positive,i bought this mouse so that could use it with my malbrook unfortunately it barely works have tried for year now to get it to different surfaces and different ways to try and make it function better but it extremely slow and very itchy and ends up slowing you down so much more than just using whatever mouse pad is on the lawton it extremely lightweight and made from cheap plastic was expecting that at least it would work but the law time is so great that you re better off not using it at all ,96,1.0
neutral,skin it,2,4.0
neutral,i chose this mouse because it lit up like the rest of my accessories however the lights are so dim they are barely noticeable it extremely light weight however feel it is going to break easily since the plastic is so thin so far for gazing ve had no issues with performance of the mouse itself ,56,5.0
positive,bought it in march and now the roller thing does not work mouse was never dropped opened and found that the attachment of the roller is broken it works as intended and love that it is rechargeable ll buy another one if it lasts long enough then maybe the first one is just luke ,54,5.0
positive,the mouse works great until it goes to sleep agog then you have to shake tap hard against your palm so you don smash it to pieces or lip the switch back and forth it quite irritating if it was as simple as on and off it would be perfect ,50,3.0
negative,well it mouse but doesn charge has stupid little white old teach mind us looks like it charging but it not this mouse was so thin it hurt to use for long periods but only lasted till the battery died has charge but it won charge used multiple tables,49,1.0
neutral,it is sleek don care that it has to be charged every night my other mouse rarely has to be charged went back to that one so do not care for this mouse,33,5.0
neutral,this sister last uses,4,5.0
negative,see title june feels poor in your hand if no star button would rate it disappointed,16,1.0
positive,i enjoyed the look and watching this mouse light up but that is essentially it the battery storage on the mouse is super low so you ll have to plug it in any way after about half hour of use maybe an hour if you turn off the rainbow led light feature the mouse stroll wheel broke on me in middle of game not any aggressive game mind you just house decorating him and ve hardly used it for the six or so months ve had it to sum up for quick cheap purchase it looks great but isn worth it in the long run and regret not buying different mouse ,111,5.0
positive,the mouse is cool comfortable to use but not fan of the sleep mode it annoying but still like the mouse love the color shifting feature too,27,1.0
neutral,after charging it stopped working so put it back on the charge thinking it wasn fully charged and hope still didn work this was waste of money ,27,5.0
neutral,once fully discharged couldn get it to work again even after charging for multiple hours multiple times,17,1.0
positive,super easy to use and transport works with my pp,10,4.0
positive,i love the tireless mouse it hold charged in month even though using hours per day it is quiet and work great thanks for good product ,26,2.0
neutral,broke after weeks of having it ,6,4.0
neutral,we purchased two of these and the scrollers broke on both of them in less than two months there was no trauma to them they re just june ,28,2.0
neutral,it works lasting charge but it is flies used for like weeks no problem cool lighting but in not sure how will it will hold up,26,5.0
neutral,battery last about his,4,4.0
negative,broke after no more than minutes of use something on the inside disconnected and the crawling wheel spine freely not only it was waste of money actually needed compact mouse for my portable office forgot all about it in my trip now it is too late to return it you get what you pay for ,55,5.0
positive,love this remote the slim design fits perfectly in my hand love the changing rainbow colors and the ease of using is absolutely awesome would highly recommend this remote to anyone with pp mac lawton,35,5.0
neutral,i was really happy to use this mouse it light weight and really liked the color changing light however had it month and the wheel use to stroll up and down stopped working so basically it useless ,37,3.0
negative,i liked the size and ease of charging but very dissatisfied with the lack of reliability and of course both stopped working just past the point could return waste of money useless without the strolling wheel ,36,1.0
neutral,type connection was bent unable to use is there way to get replacement type connection ,15,5.0
positive,this mouse is very light almost too light since you don place batteries inside ultimately that why returning bc need mouse that can pick up easily also the led lights don look like the picture ,35,5.0
positive,i have this same model in bluetooth and it works great needed it for an old you win lawton no issues and works great,24,1.0
positive,perfect budget mouse if your working with malbrook like am very smooth and responsive but wouldn recommend for gazing because any crazy fast movement can kind of law but for my online studies it been perfect very very long battery life don think ve charged it since bought it ,49,5.0
neutral,this mouse stopped working after less than months would not recommend,11,4.0
positive,it works well and easy to use,7,1.0
neutral,cheap quality and it broke quickly save your money for something more unable,13,1.0
neutral,its sleek the blush is cut color like the colored lights also works well,14,1.0
neutral,dissatisfied with purchase mouse works except for the strolling wheel ,10,5.0
neutral,can change the color only stays on red,8,1.0
neutral,the stroll wheel stopped working after weeks ,7,2.0
neutral,would prefer to buy bc its cheap and nice,9,5.0
neutral,it works for what need so no complaints here ,9,5.0
neutral,computer,1,1.0
neutral,spacious still have room for other items,7,5.0
negative,i purchased this tireless mouse the first part of may it is now early july and it doesn work anymore have charged it and it still doesn work waste of money ,31,1.0
positive,love it,2,5.0
neutral,have no problems works just fine ,6,5.0
positive,easy to use and charge works with my come book any special effort plugged it in it works,18,5.0
positive,thin design makes it easy to use and stylish no bother with batteries just plug in and charge,18,1.0
positive,this mouse works perfectly for what bought it for it economic chin colourful and works long time before needing to be charged it came quickly and was package nicely buy with confidence ,32,2.0
positive,decent mouse looks and feels cheap and the light show kind adds to the cheapness of the mouse curses cracking is the biggest issue the curses doesn track consistently smooth when moving it around on the screen and the its button doesn seem to do anything for controlling this ,49,5.0
neutral,quiet and smooth,3,3.0
positive, finally sleep mode works on this upgrade led mouse sleep mode is must for mouse because not every time you ll remember to turn it off plus why bother turning it off while your going for short break or so it does it for you to save battery note sleep mode does work on color mode the previous mouse wouldn sleep on color mode but this upgrade mouse surly does and wish it had bluetooth it would be the perfect mouse ,81,1.0
neutral,give tried everything under the sun to make it work and alas it will not ll don buy it not worth it,22,1.0
neutral,i removed the mouse from it box threw the box away and charged the mouse started using it and on the second day it just stopped working because couldn return it in it original box just threw it away ,39,5.0
negative, bought this mouse as back to keep in my lawton bag and foolishly didn try to use it until the return window had already passed it has never worked threw away my money ve tried singing this mouse to multiple computers and devices with the same results nothing can find any into about the switch on the bottom or how to troubleshoot but when plug the mouse in to charge it it illuminated blue when actually try to use it it links red and shuts off it has never worked please don waste your money please learn from my mistake ,100,1.0
neutral,nothing,1,1.0
neutral,i like the size and the fact don have to change batteries,12,1.0
positive,this mouse has been the best one that have ever used would purchase this again the fun part of the multi colors is another reason to purchase it again,29,1.0
